image_name,extracted_text,cleaned_text,confidence
5949345152205785900_121.jpg,"7:49 0540547... مفيز بسعل # هشتاقك ٦ Top Latest People Media Lists المنتجات الأفضل 9ن ن خصومات SE634 9ن بالاضافه لكود خصم فوق الخصم العروض تاخذين ون الدرجه بالضبط ثباته يخرع بنااات الصدق أشوف بديل ارخص بيوتي | من مجدل الي سعره فوق ال 100 ريال 0:08 1]» 12 /|,/ 667 wertymyl@ احمد الرشودى 1c مميز_ 0540547049 *كل يوم آيه بسعر # هشتاقك فتأتون إإن يوم الفصل كان ميقاثانيوم ينفخ في أفواجاO وفتحت الشماء فكانت أبوابان وسيرت الجبال فكانت سرابان إن جهنم كانت مرصادان بلظاغين مآبًا ل ]النبأ : ٢٢١٧[ 172 ٦14 ١ر١١ ٥ ~ nadeen ali @anadeenalil 3h ٨ +3 الساحل _ السورى # قويه دبيوا علب نايس نايس خص نايس نس البني دى الضور","7 49 0540547... مفيز بسعل هشتاقك 6 Top Latest People Media Lists المنتجات الأفضل 9ن خصومات SE634 9ن بالاضافه لكود خصم فوق الخصم العروض تاخذين ون الدرجه بالضبط ثباته يخرع بنااات الصدق أشوف بديل ارخص بيوتي من مجدل الي سعره فوق ال 100 ريال 0 08 1 12 , 667 wertymyl احمد الرشودى 1c مميز_ 0540547049 كل يوم آيه بسعر هشتاقك فتأتون إإن يوم الفصل كان ميقاثانيوم ينفخ في أفواجاO وفتحت الشماء فكانت أبوابان وسيرت الجبال فكانت سرابان إن جهنم كانت مرصادان بلظاغين مآب النبأ 2217 172 614 1ر11 5 nadeen ali anadeenalil 3h 8 3 الساحل _ السورى قويه دبيوا علب نايس نايس خص نايس نس البني دى الضور",0.6824
5949345152205785903_121.jpg,7:49 مصر Top Latest People Media Lists 1218 151 11.2K /ر|ر ٨ ~ DrIslam Sakr DrIslamSakr 1d ٥٥رآ٤ا ALESTTIHE المصرية للاتصالات وعمركمال وجراديشار بياسين وحسين الشحات وأشرف 9محمد شريف 9محمد وطاهر محمد طاهر ونبيل كوكا ومصطفى ويخسر ويخرج من دوراا32كأس  بيلعب بالناد والجمهور مصدق ان الجمهوراللي مصدق ان ناديه بيكسب بمجهوده 9@ 121 014 1.3K /ر|| ط  @Fatmalo82 12h _ ال 32 للمره ال 10 يودعكاس مصرفي يادى الفضائح امثئت البطرالفيفعبح الخفواذته فظ اكاس  أمام الأهلى لعب مرعي  داري شكري  العش مصر الأهلي اشئين نفس معلش الاهلي الدور,7 49 مصر Top Latest People Media Lists 1218 151 11.2K 8 DrIslam Sakr DrIslamSakr 1d 55رآ4ا ALESTTIHE المصرية للاتصالات وعمركمال وجراديشار بياسين وحسين الشحات وأشرف 9محمد شريف 9محمد وطاهر محمد طاهر ونبيل كوكا ومصطفى ويخسر ويخرج من دوراا32كأس بيلعب بالناد والجمهور مصدق ان الجمهوراللي مصدق ان ناديه بيكسب بمجهوده 9 121 014 1.3K Fatmalo82 12h _ ال 32 للمره ال 10 يودعكاس مصرفي يادى الفضائح امثئت البطرالفيفعبح الخفواذته فظ اكاس أمام الأهلى لعب مرعي داري شكري العش مصر الأهلي اشئين نفس معلش الاهلي الدور,0.6548
5949345152205785887_121.jpg,"7:29 ٥ ٦٥٥ music Top Latest People Media Lists Music Charts & News Music Love ThoN. 20 If you close your eyes, and just listen, deep feelings emerges IL 4:15 ٥١» 014 17168 581 /|,/ 13.4/ ٥ * Whotfismick 2h me when i listen to music and fantasize about becoming everything i've always wantec to be +3 very","7 29 5 655 music Top Latest People Media Lists Music Charts News Music Love ThoN. 20 If you close your eyes, and just listen, deep feelings emerges IL 4 15 51 014 17168 581 , 13.4 5 Whotfismick 2h me when listen to music and fantasize about becoming everything ve always wantec to be 3 very",0.6563
5949345152205785888_121.jpg,7:29 ٥ ٦٥٥ music Top Latest People Media Lists R.O.K @rOktech 3 When youre coding with music and bugs start appearing 88 12379 4K /|/ 45.8K ٨ 9 Harmony Music Love Music @khnh80044 14h So beautiful ` ٦3,7 29 5 655 music Top Latest People Media Lists . . rOktech 3 When youre coding with music and bugs start appearing 88 12379 4K 45.8K 8 9 Harmony Music Love Music khnh80044 14h So beautiful 63,0.7049
5949345152205785882_121.jpg,"7:30 ٧٥٥ food ٦- Top Latest People Media Lists Plant Based News @PlantB. 1d  LOVE this sign. Plant-based diets have consistently been shown to significant health benefits when compared to meat It is estimated that around 92 billion land animals are killed for food each year On top of that, approximately two trillion fish are killed annually Show more ImaBa: tivegan Ita Planls have   PRoTeiw, aniwa s have   FEELINSS and hunans have OPTioNs 107 1293 0339 ||,/ 5.7K ٥ ~8 Alexandria ..4@ اسكندرية 18 Jun Zephere Resturant Sea food Bahary  Alexandria +3 carry","7 30 755 food 6- Top Latest People Media Lists Plant Based News PlantB. 1d LOVE this sign. Plant-based diets have consistently been shown to significant health benefits when compared to meat It is estimated that around 92 billion land animals are killed for food each year On top of that, approximately two trillion fish are killed annually Show more ImaBa tivegan Ita Planls have PRoTeiw, aniwa have FEELINSS and hunans have OPTioNs 107 1293 0339 , 5.7K 5 8 Alexandria ..4 اسكندرية 18 Jun Zephere Resturant Sea food Bahary Alexandria 3 carry",0.6648
5949345152205785896_121.jpg,"7:33 holiday ٦' Top Latest People Media Lists Iman @4gcashmere 2$ Replying to @Snipergoat8675 @HerbsandDirt and 2 others This video was made during Christmas period, likely Christmas Eve, where kids are most likely home with their parents during the holiday  Some of these facilities shown in that video have been permanently closed years ago for infractions and were not even receiving any funding 12 ارا ~8 Rizz Ler @RizzL97849 55 R #ExpressStyleHolidayPlans Lets check out what holiday #ExpressStyleTips our passengers have! Follow & post to receive replies from Express passengers immediately! Pleaseeeee dan heng or weltttt #HonkaiStarRail @honkaistarrail x com/ honkaistarrail  . Honkai: Star Rail @honkaist , 2h Express STVLE End- Of-Year Holiday Plans Event  Part 2) Canlt think of how to unwind on your long-awaited holiday other than sleeping it away? 01 آرار sari @faewhm 65 +3 Replying to @meows4heals ^//1/171 ١ ٣٦ n٨ما ٣ ١ ٤١ ١٦٧٨ ++ 1+م ا^لرأاما","7 33 holiday 6 Top Latest People Media Lists Iman 4gcashmere 2 Replying to Snipergoat8675 HerbsandDirt and 2 others This video was made during Christmas period, likely Christmas Eve, where kids are most likely home with their parents during the holiday Some of these facilities shown in that video have been permanently closed years ago for infractions and were not even receiving any funding 12 ارا 8 Rizz Ler RizzL97849 55 ExpressStyleHolidayPlans Lets check out what holiday ExpressStyleTips our passengers have! Follow post to receive replies from Express passengers immediately! Pleaseeeee dan heng or weltttt HonkaiStarRail honkaistarrail com honkaistarrail . Honkai Star Rail honkaist , 2h Express STVLE End- Of-Year Holiday Plans Event Part 2 Canlt think of how to unwind on your long-awaited holiday other than sleeping it away? 01 آرار sari faewhm 65 3 Replying to meows4heals 1 171 1 36 n8ما 3 1 41 1678 1 لرأاما",0.6249
5949345152205785904_121.jpg,7:49 دصر Top Latest People Media Lists Gamal a @Gamalxxx5h 14h كويس انكاس مصرمش تبع الرابطة كان زمان دياب طلع لائحة باطلة واعاد المباراة اوخلاهم يكسبوا ويقاب النتيجة العجاب ايااا اام دور ال 32 مقلر 17;00 27 ديسمبر 2025 On Eports مناسر 2 المصربة للاتما لات [ ستاد السلام حماد0 القلاوى 7ة مصمفي '81 علذ عمر كمال 17 ||/ 235 Mohamed shehtaAhly 22h الخروج المهين منكاس مصرفي دورال 32 الاهد لم يقدموا شيء العاله واخرهم يلعبوا في فريق متزيل الجدول وسط الاستقرارالمالي والاداري ولعيبه بتاء تخيل الاهلي ميعادها وبتلعب ف وقتها 9 فلوسها Show more يعنى انت واخد فرصه غيرك +3 اكاس كاس الأهلي فوزي _ لنادي  الذي الااعبين يلازم  الدوري آخد قي النادى وفي,7 49 دصر Top Latest People Media Lists Gamal Gamalxxx5h 14h كويس انكاس مصرمش تبع الرابطة كان زمان دياب طلع لائحة باطلة واعاد المباراة اوخلاهم يكسبوا ويقاب النتيجة العجاب ايااا اام دور ال 32 مقلر 17 00 27 ديسمبر 2025 On Eports مناسر 2 المصربة للاتما لات ستاد السلام حماد0 القلاوى 7ة مصمفي 81 علذ عمر كمال 17 235 Mohamed shehtaAhly 22h الخروج المهين منكاس مصرفي دورال 32 الاهد لم يقدموا شيء العاله واخرهم يلعبوا في فريق متزيل الجدول وسط الاستقرارالمالي والاداري ولعيبه بتاء تخيل الاهلي ميعادها وبتلعب وقتها 9 فلوسها Show more يعنى انت واخد فرصه غيرك 3 اكاس كاس الأهلي فوزي _ لنادي الذي الااعبين يلازم الدوري آخد قي النادى وفي,0.6662
5949345152205785907_121.jpg,"7:49 ٧٥٥ مصر Top Latest People Media Lists People View all Thaqafnafsak@ ثقف نفسك 21h # فوائد_الخس # تعزيز المناعة # صحة _الدماغ مصصر # ثقف _ ن فسك الصحية فوائد تعزيز المناعة مفيد لتنزيل الوزن زيادة نظارة تفيد لصحة القلب البشره الكولسترول تعزيذ صحة الدما مفيد لمرضى يقي من طان 1240 151 ||/ 6.7K bt3@ عمرو 1c تاريخي وللتاريخ +3 حققت فوزفي كأس أمم أفريقيا تارنخنا : ""كاس  # ك اس - الخس خفض السكري السل الت",7 49 755 مصر Top Latest People Media Lists People View all Thaqafnafsak ثقف نفسك 21h فوائد_الخس تعزيز المناعة صحة _الدماغ مصصر ثقف _ فسك الصحية فوائد تعزيز المناعة مفيد لتنزيل الوزن زيادة نظارة تفيد لصحة القلب البشره الكولسترول تعزيذ صحة الدما مفيد لمرضى يقي من طان 1240 151 6.7K bt3 عمرو 1c تاريخي وللتاريخ 3 حققت فوزفي كأس أمم أفريقيا تارنخنا كاس اس - الخس خفض السكري السل الت,0.7553
5949345152205785891_121.jpg,"7:27 ٥ ٦٥٥ Search X For Vou Trending News Sports Entert 0257 177.4(( 81.2/ ٦.8M /ر|| ~ Creepy org @creepydotorg 13h Millie Bobby Brownis face in ` Stranger Things ' Season 5 235 172.7K 074« /|,/ 999K Pop Base @PopBase 1d Happy 7ist birthday to the iconic Denzel Washington ","7 27 5 655 Search For Vou Trending News Sports Entert 0257 177.4 81.2 6.8M Creepy org creepydotorg 13h Millie Bobby Brownis face in Stranger Things Season 5 235 172.7K 074 , 999K Pop Base PopBase 1d Happy 7ist birthday to the iconic Denzel Washington",0.618
5949345152205785890_121.jpg,"7:28  5 ""Putin and Russia Top Latest People Media Lists From acorns to mighty oaks 17h Replying to @highbrownobrow Bravo  We neec much more of this. Its time we openly declared Trump as Putin and Russias comrade Its what we have all been thinking  Speaking the truth now matters more than ever TIME 1215 0 51 1.7K /ر|ر Dr Bob Smith @DrBobSmith1 6h Pretty Darn Clear! ! Trump is selling Zelenskyy and Ukraine to Putin and ٧٥٨ Trun henrlinp DMAr Apain fnr his hest",7 28 5 Putin and Russia Top Latest People Media Lists From acorns to mighty oaks 17h Replying to highbrownobrow Bravo We neec much more of this. Its time we openly declared Trump as Putin and Russias comrade Its what we have all been thinking Speaking the truth now matters more than ever TIME 1215 0 51 1.7K Dr Bob Smith DrBobSmith1 6h Pretty Darn Clear! ! Trump is selling Zelenskyy and Ukraine to Putin and 758 Trun henrlinp DMAr Apain fnr his hest,0.6089
